Files already downloaded and verified
Files already downloaded and verified
  0%|                                                                                                                                                                    | 0/5 [00:00<?, ?it/s]
Net(
  (conv1): Conv2d(3, 6, kernel_size=(5, 5), stride=(1, 1))
  (pool): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (conv2): Conv2d(6, 16, kernel_size=(5, 5), stride=(1, 1))
  (fc1): Linear(in_features=400, out_features=120, bias=True)
  (fc2): Linear(in_features=120, out_features=84, bias=True)
  (fc3): Linear(in_features=84, out_features=10, bias=True)
)
Loss after 00096examples: 2.271
Loss after 00196examples: 2.307
Loss after 00296examples: 2.366
Loss after 00396examples: 2.341
Loss after 00496examples: 2.348
Loss after 00596examples: 2.292
Loss after 00696examples: 2.286
Loss after 00796examples: 2.344
Loss after 00896examples: 2.287
Loss after 00996examples: 2.310
Loss after 01096examples: 2.295
Loss after 01196examples: 2.228
Loss after 01296examples: 2.331
Loss after 01396examples: 2.264
Loss after 01496examples: 2.288
Loss after 01596examples: 2.263
Loss after 01696examples: 2.283
Loss after 01796examples: 2.287
Loss after 01896examples: 2.324
Loss after 01996examples: 2.292
Loss after 02096examples: 2.289
Loss after 02196examples: 2.311
Loss after 02296examples: 2.283
Loss after 02396examples: 2.328
Loss after 02496examples: 2.243
Loss after 02596examples: 2.269
Loss after 02696examples: 2.362
Loss after 02796examples: 2.335
Loss after 02896examples: 2.279
Loss after 02996examples: 2.303
Loss after 03096examples: 2.273
Loss after 03196examples: 2.258
Loss after 03296examples: 2.263
Loss after 03396examples: 2.338
Loss after 03496examples: 2.371
Loss after 03596examples: 2.225
Loss after 03696examples: 2.286
Loss after 03796examples: 2.059
Loss after 03896examples: 2.328
Loss after 03996examples: 2.122
Loss after 04096examples: 2.480
Loss after 04196examples: 2.273
Loss after 04296examples: 2.194
Loss after 04396examples: 1.718
Loss after 04496examples: 2.147
Loss after 04596examples: 2.194
Loss after 04696examples: 2.175
Loss after 04796examples: 2.036
Loss after 04896examples: 1.982
Loss after 04996examples: 2.243
Loss after 05096examples: 2.187
Loss after 05196examples: 1.986
Loss after 05296examples: 2.124
Loss after 05396examples: 2.069
Loss after 05496examples: 2.356
Loss after 05596examples: 1.920
Loss after 05696examples: 2.887
Loss after 05796examples: 2.008
Loss after 05896examples: 2.035
Loss after 05996examples: 1.210
Loss after 06096examples: 1.869
Loss after 06196examples: 2.081
Loss after 06296examples: 1.416
Loss after 06396examples: 2.215
Loss after 06496examples: 1.859
Loss after 06596examples: 1.922
Loss after 06696examples: 2.019
Loss after 06796examples: 2.304
Loss after 06896examples: 2.054
Loss after 06996examples: 2.164
Loss after 07096examples: 2.045
Loss after 07196examples: 1.920
Loss after 07296examples: 2.011
Loss after 07396examples: 2.261
Loss after 07496examples: 2.082
Loss after 07596examples: 1.758
Loss after 07696examples: 1.878
Loss after 07796examples: 1.639
Loss after 07896examples: 1.469
Loss after 07996examples: 1.793
Loss after 08096examples: 2.044
Loss after 08196examples: 1.557
Loss after 08296examples: 2.056
Loss after 08396examples: 2.130
Loss after 08496examples: 1.961
Loss after 08596examples: 2.109
Loss after 08696examples: 1.804
Loss after 08796examples: 1.808
Loss after 08896examples: 2.290
Loss after 08996examples: 2.253
Loss after 09096examples: 1.936
Loss after 09196examples: 1.262
Loss after 09296examples: 1.939
Loss after 09396examples: 2.011
Loss after 09496examples: 1.646
Loss after 09596examples: 1.914
Loss after 09696examples: 1.846
Loss after 09796examples: 2.097
Loss after 09896examples: 1.745
Loss after 09996examples: 2.027
Loss after 10096examples: 1.740
Loss after 10196examples: 2.081
Loss after 10296examples: 1.671
Loss after 10396examples: 1.956
Loss after 10496examples: 1.915
Loss after 10596examples: 1.923
Loss after 10696examples: 2.487
Loss after 10796examples: 1.738
Loss after 10896examples: 2.054
Loss after 10996examples: 1.493
Loss after 11096examples: 1.937
Loss after 11196examples: 2.262
Loss after 11296examples: 1.578
Loss after 11396examples: 1.851
Loss after 11496examples: 1.535
Loss after 11596examples: 2.025
Loss after 11696examples: 2.507
Loss after 11796examples: 1.483
Loss after 11896examples: 2.036
Loss after 11996examples: 1.896
Loss after 12096examples: 2.239
Loss after 12196examples: 1.458
Loss after 12296examples: 2.604
Loss after 12396examples: 1.823
Loss after 12496examples: 1.516
Loss after 12596examples: 1.283
Loss after 12696examples: 1.445
Loss after 12796examples: 1.772
Loss after 12896examples: 1.653
Loss after 12996examples: 1.791
Loss after 13096examples: 1.593
Loss after 13196examples: 1.660
Loss after 13296examples: 1.006
Loss after 13396examples: 2.359
Loss after 13496examples: 1.443
Loss after 13596examples: 1.679
Loss after 13696examples: 2.140
Loss after 13796examples: 1.698
Loss after 13896examples: 1.518
Loss after 13996examples: 1.322
Loss after 14096examples: 1.120
Loss after 14196examples: 2.207
Loss after 14296examples: 2.161
Loss after 14396examples: 2.037
Loss after 14496examples: 1.602
Loss after 14596examples: 1.753
Loss after 14696examples: 1.248
Loss after 14796examples: 1.903
Loss after 14896examples: 2.014
Loss after 14996examples: 2.223
Loss after 15096examples: 1.745
Loss after 15196examples: 2.064
Loss after 15296examples: 0.988
Loss after 15396examples: 0.923
Loss after 15496examples: 2.034
Loss after 15596examples: 2.105
Loss after 15696examples: 2.774
Loss after 15796examples: 1.677
Loss after 15896examples: 2.269
Loss after 15996examples: 1.281
Loss after 16096examples: 1.314
Loss after 16196examples: 1.351
Loss after 16296examples: 1.643
Loss after 16396examples: 1.856
Loss after 16496examples: 1.693
Loss after 16596examples: 2.167
Loss after 16696examples: 1.217
Loss after 16796examples: 1.132
Loss after 16896examples: 1.109
Loss after 16996examples: 2.158
Loss after 17096examples: 1.448
Loss after 17196examples: 1.734
Loss after 17296examples: 2.137
Loss after 17396examples: 1.162
Loss after 17496examples: 0.940
Loss after 17596examples: 1.425
Loss after 17696examples: 1.782
